Cible      Cosine     Anderberg     Hamming     RusselRao     SokalSneath     Kulzinsky     Euclide     Jaccard     
bitman:      0,451          0,116          0,588          0,109          0,741          0,264          0,014          0,209     
 telsacrypt:      0,464          0,122          0,594          0,113          0,746          0,279          0,014          0,218     
 cerber:      0,482          0,132          0,603          0,121          0,752          0,305          0,013          0,234     
 fsysna:      0,461          0,173          0,335          0,278          0,502          0,418          0,017          0,295     
 gamarue:      0,448          0,111          0,587          0,104          0,739          0,251          0,014          0,200     
 yakes:      0,455          0,118          0,590          0,110          0,742          0,267          0,014          0,211     
 deshacop:      0,496          0,141          0,610          0,127          0,758          0,327          0,013          0,246     
 xorist:      0,284          0,044          0,525          0,044          0,688          0,093          0,015          0,085     
 zerber:      0,483          0,133          0,604          0,122          0,753          0,308          0,013          0,235     
 gpcode:      0,278          0,061          0,509          0,064          0,674          0,130          0,015          0,115     
 goodware:      0,448          0,121          0,586          0,114          0,739          0,274          0,014          0,215     
 Cosine     Anderberg     Hamming     RusselRao     SokalSneath     Kulzinsky     Euclide     Jaccard     
bitman:      0,455          0,119          0,599          0,109          0,749          0,271          0,014          0,213     
 telsacrypt:      0,469          0,125          0,605          0,113          0,754          0,287          0,013          0,223     
 cerber:      0,476          0,131          0,608          0,118          0,756          0,302          0,013          0,232     
 fsysna:      0,456          0,170          0,334          0,272          0,500          0,409          0,017          0,290     
 gamarue:      0,452          0,114          0,597          0,104          0,748          0,257          0,014          0,205     
 yakes:      0,459          0,121          0,600          0,110          0,750          0,274          0,014          0,215     
 deshacop:      0,502          0,144          0,621          0,127          0,766          0,336          0,013          0,252     
 xorist:      0,284          0,045          0,534          0,044          0,697          0,094          0,015          0,086     
 zerber:      0,479          0,133          0,610          0,120          0,757          0,306          0,013          0,235     
 gpcode:      0,281          0,062          0,519          0,064          0,684          0,133          0,015          0,117     
 goodware:      0,447          0,121          0,593          0,112          0,745          0,276          0,014          0,216     
 Cosine     Anderberg     Hamming     RusselRao     SokalSneath     Kulzinsky     Euclide     Jaccard     
bitman:      0,437          0,116          0,618          0,100          0,764          0,263          0,013          0,208     
 telsacrypt:      0,447          0,121          0,623          0,104          0,768          0,276          0,013          0,216     
 cerber:      0,505          0,147          0,650          0,121          0,788          0,346          0,013          0,257     
 fsysna:      0,424          0,151          0,314          0,244          0,478          0,356          0,018          0,263     
 gamarue:      0,442          0,114          0,621          0,098          0,767          0,258          0,013          0,205     
 yakes:      0,437          0,116          0,618          0,100          0,764          0,263          0,013          0,208     
 deshacop:      0,470          0,135          0,632          0,115          0,775          0,313          0,013          0,238     
 xorist:      0,295          0,048          0,571          0,044          0,727          0,101          0,014          0,092     
 zerber:      0,506          0,148          0,650          0,122          0,788          0,349          0,013          0,259     
 gpcode:      0,285          0,065          0,553          0,062          0,712          0,139          0,014          0,122     
 goodware:      0,469          0,134          0,632          0,114          0,775          0,309          0,013          0,236     
 
